date,index_name,action,symbol
2021-09-20,SP500,add,MTCH
2021-09-20,SP500,add,DAY
2021-09-20,SP500,add,BRO
2021-08-30,SP500,remove,MXIM
2021-08-30,SP500,add,TECH
2021-07-21,SP500,remove,ALXN
2021-07-21,SP500,add,MRNA
2021-06-04,SP500,remove,HFC
2021-06-03,SP500,add,OGN
2021-05-14,SP500,remove,FLIR
2021-05-14,SP500,add,CRL
2021-04-20,SP500,remove,VAR
2021-04-20,SP500,add,PTC
2021-03-22,SP500,remove,XRX
2021-03-22,SP500,remove,VNT
2021-03-22,SP500,remove,SLG
2021-03-22,SP500,remove,FLS
2021-03-22,SP500,add,PENN
2021-03-22,SP500,add,NXPI
2021-03-22,SP500,add,GNRC
2021-03-22,SP500,add,CZR
2021-02-12,SP500,remove,FTI
2021-02-12,SP500,add,MPWR
2021-01-21,SP500,remove,CXO
2021-01-21,SP500,add,TRMB
2021-01-07,SP500,remove,TIF
2021-01-07,SP500,add,ENPH
2020-12-21,SP500,remove,AIV
2020-12-21,SP500,add,TSLA
2020-10-12,SP500,remove,NBL
2020-10-09,SP500,add,VNT
2020-10-07,SP500,remove,ETFC
2020-10-07,SP500,add,POOL
2020-09-21,SP500,remove,KSS
2020-09-21,SP500,remove,HRB
2020-09-21,SP500,remove,COTY
2020-09-21,SP500,add,TER
2020-09-21,SP500,add,ETSY
2020-09-21,SP500,add,CTLT
2020-06-22,SP500,remove,JWN
2020-06-22,SP500,remove,HOG
2020-06-22,SP500,remove,ADS
2020-06-22,SP500,add,TYL
2020-06-22,SP500,add,TDY
2020-06-22,SP500,add,BIO
2020-05-22,SP500,remove,HP
2020-05-22,SP500,add,WST
2020-05-12,SP500,remove,CPRI
2020-05-12,SP500,remove,AGN
2020-05-12,SP500,add,DXCM
2020-05-12,SP500,add,DPZ
2020-04-06,SP500,remove,RTN
2020-04-06,SP500,remove,M
2020-04-03,SP500,add,OTIS
2020-04-03,SP500,add,CARR
2020-04-01,SP500,remove,ARNC
2020-04-01,SP500,add,HWM
2020-03-02,SP500,remove,XEC
2020-03-02,SP500,add,IR
2020-01-28,SP500,remove,WCG
2020-01-28,SP500,add,PAYC
2019-12-23,SP500,remove,TRIP
2019-12-23,SP500,remove,MAC
2019-12-23,SP500,remove,AMG
2019-12-23,SP500,add,ZBRA
2019-12-23,SP500,add,STE
2019-12-23,SP500,add,LYV
2019-12-09,SP500,remove,STI
2019-12-09,SP500,add,ODFL
2019-12-05,SP500,remove,VIAB
2019-12-05,SP500,add,WRB
2019-11-21,SP500,remove,CELG
2019-11-21,SP500,add,NOW
2019-10-03,SP500,remove,NKTR
2019-10-03,SP500,add,LVS
2019-09-26,SP500,remove,JEF
2019-09-26,SP500,add,NVR
2019-09-23,SP500,remove,TSS
2019-09-23,SP500,add,CDW
2019-08-09,SP500,remove,FL
2019-08-09,SP500,remove,APC
2019-08-09,SP500,add,LDOS
2019-08-09,SP500,add,IEX
2019-07-15,SP500,remove,RHT
2019-07-15,SP500,add,TMUS
2019-07-01,SP500,remove,LLL
2019-07-01,SP500,add,MKTX
2019-06-11,SP500,remove,BMS
2019-06-11,SP500,add,AMCR
2019-06-07,SP500,remove,MAT
2019-06-07,SP500,add,BMS
2019-06-03,SP500,remove,FLR
2019-06-03,SP500,remove,DWDP
2019-06-03,SP500,add,DD
2019-06-03,SP500,add,CTVA
2019-04-02,SP500,remove,BHF
2019-04-02,SP500,add,DOW
2019-03-19,SP500,remove,FOXA
2019-03-19,SP500,remove,FOX
2019-03-19,SP500,add,FOXA
2019-03-19,SP500,add,FOX
2019-02-27,SP500,remove,GT
2019-02-27,SP500,add,WAB
2019-02-15,SP500,remove,NFX
2019-02-15,SP500,add,ATO
2019-01-18,SP500,remove,PCG
2019-01-18,SP500,add,TFX
2019-01-02,SP500,remove,SCG
2019-01-02,SP500,add,FRC
2018-12-24,SP500,remove,ESRX
2018-12-24,SP500,add,CE
2018-12-03,SP500,remove,SRCL
2018-12-03,SP500,remove,COL
2018-12-03,SP500,remove,AET
2018-12-03,SP500,add,MXIM
2018-12-03,SP500,add,LW
2018-12-03,SP500,add,FANG
2018-11-13,SP500,remove,EQT
2018-11-13,SP500,add,JKHY
2018-11-06,SP500,remove,CA
2018-11-06,SP500,add,KEYS
2018-10-11,SP500,remove,EVHC
2018-10-11,SP500,add,FTNT
2018-10-01,SP500,remove,ANDV
2018-10-01,SP500,add,ROL
2018-09-14,SP500,remove,XL
2018-09-14,SP500,add,WCG
2018-08-28,SP500,remove,GGP
2018-08-28,SP500,add,ANET
2018-07-02,SP500,remove,DPS
2018-07-02,SP500,add,CPRT
2018-06-20,SP500,remove,TWX
2018-06-20,SP500,add,FLT
2018-06-18,SP500,remove,RRC
2018-06-18,SP500,remove,AYI
2018-06-18,SP500,add,HFC
2018-06-18,SP500,add,BR
2018-06-07,SP500,remove,MON
2018-06-07,SP500,add,TWTR
2018-06-05,SP500,remove,NAVI
2018-06-05,SP500,add,EVRG
2018-05-31,SP500,remove,WYN
2018-05-31,SP500,add,ABMD
